MMSI,lng,lat
431601641,131.206067,33.8728
431601641,131.2066,33.8727
431601641,131.2072,33.872583
431601641,131.20785,33.872483
431601641,131.20845,33.872367
431601641,131.208983,33.872283
431601641,131.210183,33.872067
431601641,131.210783,33.871967
431601641,131.211433,33.87185
431601641,131.212033,33.87175
431601641,131.212567,33.87165
431601641,131.213217,33.871533
431601641,131.21375,33.87145
431601641,131.21435,33.871333
431601641,131.215,33.871217
431601641,131.21555,33.871117
431601641,131.216133,33.871017
431601641,131.216733,33.870933
431601641,131.217267,33.870833
431601641,131.217867,33.870733
431601641,131.21845,33.870633
431601641,131.2191,33.870517
431601641,131.219683,33.870417
431601641,131.220817,33.870217
431601641,131.2214,33.870117
431601641,131.222,33.87
431601641,131.22265,33.8699
431601641,131.223283,33.869783
431601641,131.2244,33.869583
431601641,131.224933,33.8695
431601641,131.225517,33.8694
431601641,131.226167,33.869283
431601641,131.226817,33.869167
431601641,131.2274,33.869067
431601641,131.227933,33.868967
431601641,131.228467,33.868883
431601641,131.22905,33.868783
431601641,131.229683,33.868667
431601641,131.230217,33.868583
431601641,131.23145,33.868367
431601641,131.231967,33.868267
431601641,131.232683,33.86815
431601641,131.23315,33.868067
431601641,131.23385,33.86795
431601641,131.234433,33.86785
431601641,131.234967,33.86775
431601641,131.235483,33.867667
431601641,131.236183,33.867533
431601641,131.236717,33.86745
431601641,131.237233,33.867367
431601641,131.237933,33.867233
431601641,131.23845,33.86715
431601641,131.238983,33.867067
431601641,131.239683,33.866933
431601641,131.24015,33.866867
431601641,131.240833,33.86675
431601641,131.241417,33.86665
431601641,131.241933,33.866567
431601641,131.242467,33.866483
431601641,131.243167,33.866367
431601641,131.243683,33.866267
431601641,131.244267,33.866183
431601641,131.244917,33.866067
431601641,131.245433,33.865983
431601641,131.246017,33.865883
431601641,131.2466,33.8658
431601641,131.24725,33.865683
431601641,131.247767,33.8656
431601641,131.248417,33.8655
431601641,131.248933,33.865417
431601641,131.249467,33.865317
431601641,131.25005,33.865233
431601641,131.25075,33.865117
431601641,131.251267,33.865033
431601641,131.25185,33.864933
431601641,131.252433,33.864833
431601641,131.253017,33.864717
431601641,131.2536,33.864617
431601641,131.25425,33.8645
431601641,131.254783,33.864417
431601641,131.25535,33.8643
431601641,131.256,33.8642
431601641,131.256533,33.864117
431601641,131.257117,33.864017
431601641,131.25775,33.863917
431601641,131.258283,33.863833
431601641,131.258867,33.863733
431601641,131.25945,33.863633
431601641,131.260617,33.86345
431601641,131.26125,33.86335
431601641,131.261783,33.863267
431601641,131.262367,33.863167
431601641,131.263,33.863083
