Course,Speed,lng,lat,MMSI
1.6,8.3,121.444947,37.59553,412767320
1.7,8.3,121.444947,37.595373,412767320
1.3,8.3,121.44496,37.595753,412767320
1.1,8.3,121.44496,37.596033,412767320
0.5,8.3,121.44496,37.596153,412767320
0.2,8.3,121.44496,37.596237,412767320
0.5,8.4,121.444987,37.596467,412767320
0.5,8.3,121.444987,37.596587,412767320
1.1,8.4,121.445013,37.5969,412767320
1.1,8.4,121.444987,37.596707,412767320
0.8,8.4,121.445027,37.597337,412767320
359.3,8.4,121.445027,37.597723,412767320
0.5,8.4,121.445027,37.598107,412767320
3.1,8.5,121.445053,37.598487,412767320
1.8,8.5,121.44508,37.598883,412767320
2.2,8.5,121.44508,37.599243,412767320
1.8,8.5,121.44508,37.59953,412767320
1.7,8.5,121.44508,37.59964,412767320
1.7,8.5,121.44508,37.59976,412767320
1.3,8.6,121.445133,37.600083,412767320
1.3,8.6,121.445133,37.60021,412767320
1.3,8.8,121.445133,37.600497,412767320
1.1,8.8,121.445133,37.60075,412767320
1.1,8.8,121.445147,37.60091,412767320
0.8,8.9,121.445147,37.601247,412767320
0.8,8.9,121.445147,37.601337,412767320
0.6,8.9,121.445147,37.601497,412767320
0.6,9,121.445173,37.60171,412767320
0.4,9,121.445173,37.60196,412767320
0.2,9,121.445173,37.602257,412767320
0.2,9,121.445173,37.602467,412767320
0.2,9.1,121.445173,37.602733,412767320
0,9.1,121.445173,37.603033,412767320
359.8,9.3,121.445173,37.603293,412767320
359.6,9.4,121.445173,37.60351,412767320
359.6,9.4,121.445147,37.604083,412767320
359.3,9.4,121.445147,37.6043,412767320
359.1,9.5,121.445147,37.60456,412767320
359.3,9.5,121.445147,37.604743,412767320
359.1,9.5,121.445133,37.605093,412767320
359.1,9.5,121.445133,37.604877,412767320
359.1,9.5,121.445133,37.60519,412767320
359.1,9.5,121.445133,37.605367,412767320
359.1,9.6,121.44508,37.605947,412767320
358.8,9.6,121.44508,37.60618,412767320
359,9.8,121.44508,37.60646,412767320
359,9.6,121.44508,37.60655,412767320
359.3,9.8,121.44508,37.60678,412767320
359,9.8,121.44508,37.607007,412767320
358.8,9.9,121.44508,37.60747,412767320
358.3,9.8,121.44508,37.60793,412767320
358.1,9.9,121.44508,37.608393,412767320
357.6,10,121.445027,37.6088,412767320
357.5,10,121.445013,37.60927,412767320
357.3,10,121.44496,37.609773,412767320
357.5,10,121.444947,37.61006,412767320
357.5,10,121.444947,37.610243,412767320
357.6,10,121.444947,37.61034,412767320
357.8,10,121.444947,37.61056,412767320
357.8,10,121.444947,37.6107,412767320
358,10,121.444947,37.61088,412767320
358.1,10,121.44492,37.61116,412767320
358.3,10,121.44492,37.611587,412767320
358.6,10,121.44492,37.61173,412767320
358.3,10,121.44492,37.6114,412767320
358.6,10,121.444907,37.61201,412767320
359,10,121.44488,37.61252,412767320
359.1,10,121.44488,37.61285,412767320
359.1,10,121.44488,37.613137,412767320
359.3,10,121.444853,37.613683,412767320
359.5,10,121.444853,37.613963,412767320
359.6,10,121.444853,37.614197,412767320
359.8,10,121.444853,37.61447,412767320
359.8,10,121.444853,37.614803,412767320
0,10,121.44488,37.61503,412767320
359.8,10,121.44488,37.615317,412767320
359.8,10,121.44488,37.61564,412767320
0,10,121.44488,37.615773,412767320
359.8,10,121.44488,37.61592,412767320
359.8,10,121.44488,37.61615,412767320
0,10,121.444853,37.616297,412767320
359.8,10,121.444853,37.616443,412767320
359.8,10,121.44488,37.616773,412767320
359.8,10,121.444853,37.617007,412767320
0.2,10,121.44488,37.6172,412767320
0.2,10,121.44488,37.61728,412767320
1.1,10,121.44488,37.61784,412767320
0.9,10,121.44488,37.617613,412767320
1.1,10,121.44488,37.617663,412767320
0.5,10,121.44488,37.618133,412767320
359,10,121.44488,37.618603,412767320
356.5,10,121.4448,37.619577,412767320
355.8,9.9,121.444787,37.619947,412767320
352.3,9.9,121.444613,37.620937,412767320
351.3,9.9,121.44456,37.62121,412767320
350.6,9.9,121.444533,37.621397,412767320
349.8,9.9,121.444427,37.621757,412767320
349.8,10,121.444427,37.621853,412767320
349.6,10,121.44432,37.622317,412767320
349.6,10,121.4444,37.622043,412767320
350.3,9.9,121.44424,37.62273,412767320
350.3,9.9,121.444227,37.622857,412767320
348.5,9.9,121.444093,37.623353,412767320
349.5,9.9,121.444133,37.623137,412767320
347.3,9.9,121.443973,37.62367,412767320
346.5,9.9,121.443907,37.623927,412767320
345.8,9.9,121.44384,37.624137,412767320
345.3,9.9,121.443733,37.624397,412767320
344.8,9.9,121.44364,37.624693,412767320
344.6,9.8,121.443547,37.62491,412767320
344.6,9.8,121.443467,37.625177,412767320
344.5,9.9,121.44336,37.625483,412767320
