lng,lat,MMSI
121.292357,31.597238,412554490
121.291977,31.597673,412554490
121.291583,31.598102,412554490
121.29126,31.598433,412554490
121.29084,31.598833,412554490
121.290425,31.599238,412554490
121.289938,31.599728,412554490
121.289523,31.600128,412554490
121.289092,31.600523,412554490
121.288747,31.60084,412554490
121.288315,31.601242,412554490
121.287882,31.601642,412554490
121.287367,31.60212,412554490
121.286937,31.602518,412554490
121.286508,31.602917,412554490
121.286078,31.603332,412554490
121.285737,31.603665,412554490
121.284807,31.604563,412554490
121.284392,31.60497,412554490
121.283535,31.605777,412554490
121.283188,31.606095,412554490
121.28275,31.60649,412554490
121.282227,31.606965,412554490
121.281878,31.607282,412554490
121.281348,31.607757,412554490
121.280118,31.608873,412554490
121.2796,31.609355,412554490
121.279255,31.609678,412554490
121.278738,31.610158,412554490
121.278303,31.61056,412554490
121.277942,31.610867,412554490
121.277493,31.611255,412554490
121.276947,31.611713,412554490
121.276578,31.612018,412554490
121.276025,31.612467,412554490
121.275562,31.61284,412554490
121.275192,31.61314,412554490
121.274727,31.613518,412554490
121.274172,31.613973,412554490
121.273798,31.614275,412554490
121.272415,31.615427,412554490
121.271948,31.615812,412554490
121.271018,31.61658,412554490
121.270468,31.617047,412554490
121.270008,31.617433,412554490
121.269183,31.618143,412554490
121.268648,31.618623,412554490
121.268287,31.618938,412554490
121.267738,31.619405,412554490
121.267277,31.619793,412554490
121.266807,31.620175,412554490
121.266428,31.620478,412554490
121.26587,31.620935,412554490
121.26494,31.621707,412554490
121.264473,31.622093,412554490
121.264005,31.622475,412554490
121.263633,31.622782,412554490
121.263073,31.623242,412554490
121.262697,31.623543,412554490
121.262135,31.623995,412554490
121.261672,31.624378,412554490
121.26121,31.624765,412554490
121.260843,31.625072,412554490
121.260385,31.62545,412554490
121.259925,31.625828,412554490
121.259378,31.62629,412554490
121.258903,31.626667,412554490
121.258433,31.627047,412554490
121.25806,31.627353,412554490
121.257142,31.628132,412554490
121.25669,31.628525,412554490
121.256138,31.628992,412554490
121.25568,31.629382,412554490
121.25531,31.62969,412554490
121.254853,31.630075,412554490
121.254398,31.630458,412554490
121.253942,31.630842,412554490
121.253383,31.631295,412554490
