lng,lat,MMSI
121.422707,37.56782,412020540
121.423,37.567923,412020540
121.42316,37.567983,412020540
121.42328,37.56802,412020540
121.42352,37.5681,412020540
121.423573,37.568117,412020540
121.42364,37.56814,412020540
121.423973,37.568237,412020540
121.424147,37.568287,412020540
121.424307,37.568333,412020540
121.42448,37.568383,412020540
121.42464,37.56843,412020540
121.424787,37.568473,412020540
121.425147,37.568567,412020540
121.425307,37.568617,412020540
121.425453,37.568667,412020540
121.425507,37.568683,412020540
121.425573,37.568703,412020540
121.425627,37.56872,412020540
121.42572,37.56876,412020540
121.425813,37.56879,412020540
121.42588,37.568817,412020540
121.42596,37.568857,412020540
121.426013,37.56888,412020540
121.426067,37.568897,412020540
121.426213,37.568967,412020540
121.42636,37.569037,412020540
121.42668,37.569203,412020540
121.426773,37.56926,412020540
121.426853,37.569303,412020540
121.426907,37.56934,412020540
121.42696,37.569367,412020540
121.427053,37.569423,412020540
121.427133,37.569477,412020540
121.427187,37.569507,412020540
121.42728,37.56957,412020540
121.427333,37.569593,412020540
121.427413,37.569647,412020540
121.427507,37.569707,412020540
121.427613,37.569767,412020540
121.427707,37.56983,412020540
121.427853,37.56992,412020540
121.427907,37.569943,412020540
121.428,37.570003,412020540
121.428053,37.570033,412020540
121.428147,37.57009,412020540
121.42824,37.570143,412020540
121.42836,37.570203,412020540
121.428453,37.570253,412020540
121.42852,37.57029,412020540
121.428573,37.570313,412020540
121.428627,37.570347,412020540
121.42868,37.57037,412020540
121.428733,37.570393,412020540
121.4288,37.570423,412020540
121.428893,37.570463,412020540
121.428973,37.570483,412020540
121.429027,37.570503,412020540
121.42916,37.57055,412020540
121.429213,37.57056,412020540
121.4294,37.57062,412020540
121.429587,37.570663,412020540
121.429787,37.570693,412020540
121.429973,37.57073,412020540
121.430027,37.570737,412020540
121.43012,37.570753,412020540
121.430227,37.570767,412020540
121.430293,37.570773,412020540
121.43036,37.570787,412020540
121.430427,37.57079,412020540
121.430493,37.570797,412020540
121.4306,37.57081,412020540
121.430667,37.570813,412020540
121.430747,37.570827,412020540
121.4308,37.57083,412020540
121.430867,37.57084,412020540
121.430987,37.57085,412020540
121.43108,37.570853,412020540
121.431267,37.570867,412020540
121.43132,37.570873,412020540
121.43152,37.57089,412020540
121.43164,37.5709,412020540
121.431693,37.570907,412020540
121.431893,37.570923,412020540
121.432,37.570937,412020540
121.432053,37.57094,412020540
121.43212,37.570947,412020540
121.4322,37.570953,412020540
121.432293,37.57097,412020540
121.43236,37.570977,412020540
121.432427,37.570983,412020540
121.432507,37.571007,412020540
121.432587,37.57102,412020540
121.43264,37.57103,412020540
121.432827,37.571083,412020540
121.43288,37.5711,412020540
121.432933,37.571117,412020540
121.433013,37.571143,412020540
121.43316,37.57121,412020540
121.433253,37.571247,412020540
121.43332,37.571283,412020540
121.433387,37.571303,412020540
121.433667,37.571417,412020540
121.433733,37.571453,412020540
121.433787,37.571477,412020540
121.43388,37.571513,412020540
121.43396,37.57156,412020540
121.434053,37.571617,412020540
121.434133,37.57166,412020540
121.434213,37.571717,412020540
121.434267,37.571737,412020540
121.434333,37.571783,412020540
121.434427,37.571837,412020540
121.43448,37.571863,412020540
121.43456,37.571913,412020540
121.434653,37.571977,412020540
121.434707,37.572013,412020540
121.434787,37.572067,412020540
121.434853,37.5721,412020540
121.434947,37.572153,412020540
121.435,37.572187,412020540
121.43508,37.572233,412020540
121.435133,37.57226,412020540
121.435227,37.572307,412020540
121.43532,37.57236,412020540
121.435373,37.572383,412020540
121.43548,37.572437,412020540
121.435587,37.57249,412020540
121.43568,37.57253,412020540
121.435747,37.572547,412020540
121.435853,37.572593,412020540
121.435907,37.572617,412020540
121.43596,37.572633,412020540
121.43612,37.57269,412020540
121.436173,37.57271,412020540
121.43628,37.572747,412020540
121.436333,37.572753,412020540
121.436387,37.57277,412020540
121.436467,37.572787,412020540
121.436627,37.572833,412020540
121.436733,37.57286,412020540
121.436787,37.572877,412020540
121.43684,37.57289,412020540
121.436907,37.5729,412020540
121.437107,37.572957,412020540
121.437293,37.572993,412020540
121.437453,37.57303,412020540
121.437613,37.573077,412020540
121.437773,37.573127,412020540
121.43792,37.573173,412020540
121.438053,37.573223,412020540
121.438213,37.57328,412020540
121.438307,37.573313,412020540
121.43836,37.573337,412020540
121.438467,37.573377,412020540
121.438547,37.573413,412020540
121.4386,37.57344,412020540
121.43868,37.57348,412020540
121.43876,37.573527,412020540
121.438853,37.573577,412020540
121.43892,37.573627,412020540
121.438973,37.573653,412020540
121.439027,37.5737,412020540
121.43912,37.573753,412020540
121.439173,37.5738,412020540
121.439227,37.57383,412020540
121.43928,37.573853,412020540
121.439413,37.57393,412020540
121.439493,37.573983,412020540
121.439573,37.574043,412020540
121.439653,37.574093,412020540
121.439707,37.57413,412020540
121.439787,37.574183,412020540
121.439867,37.574247,412020540
121.439933,37.574297,412020540
121.44008,37.574393,412020540
121.44016,37.574443,412020540
121.440253,37.57451,412020540
121.440347,37.574573,412020540
121.440413,37.574623,412020540
121.440467,37.57465,412020540
121.44052,37.574687,412020540
121.440613,37.57475,412020540
