Heading,Course,Speed,lng,lat,MMSI
193,190,11.5,125.675417,35.499067,440173000
193,189,11.5,125.675033,35.497467,440173000
193,189,11.5,125.67465,35.49555,440173000
193,188,11.5,125.674117,35.49285,440173000
193,189,11.5,125.673433,35.48955,440173000
193,189,11.5,125.672983,35.487483,440173000
193,190,11.5,125.67255,35.48535,440173000
194,190,11.6,125.67205,35.483233,440173000
193,189,11.6,125.671483,35.480633,440173000
195,188,11.6,125.670867,35.4775,440173000
196,192,11.6,125.670233,35.475183,440173000
196,192,11.6,125.669533,35.472667,440173000
197,193,11.5,125.669117,35.471133,440173000
196,193,11.5,125.6684,35.468833,440173000
195,192,11.5,125.668,35.467433,440173000
197,192,11.5,125.66745,35.46535,440173000
197,194,11.5,125.666783,35.463283,440173000
197,194,11.5,125.666283,35.461667,440173000
197,194,11.5,125.665617,35.459483,440173000
197,194,11.5,125.665167,35.458033,440173000
197,193,11.5,125.66435,35.4554,440173000
197,194,11.4,125.6637,35.453333,440173000
196,193,11.4,125.663083,35.4513,440173000
195,192,11.4,125.66255,35.449333,440173000
196,192,11.5,125.66195,35.447083,440173000
197,193,11.5,125.66135,35.445017,440173000
195,193,11.5,125.660733,35.442933,440173000
196,192,11.5,125.660167,35.4408,440173000
196,192,11.5,125.65965,35.438933,440173000
196,192,11.5,125.6592,35.437233,440173000
196,192,11.5,125.658667,35.4352,440173000
197,192,11.5,125.658217,35.433533,440173000
196,193,11.4,125.6576,35.431517,440173000
195,191,11.4,125.65695,35.428917,440173000
195,191,11.4,125.6564,35.426833,440173000
196,191,11.4,125.655783,35.424383,440173000
197,193,11.4,125.6553,35.422733,440173000
196,192,11.4,125.654317,35.419183,440173000
195,191,11.4,125.6538,35.417083,440173000
196,193,11.4,125.652583,35.412783,440173000
196,191,11.4,125.652067,35.41075,440173000
196,192,11.4,125.651333,35.408167,440173000
196,191,11.4,125.650467,35.404683,440173000
196,192,11.3,125.647067,35.392683,440173000
196,192,11.3,125.646417,35.390283,440173000
195,192,11.2,125.64465,35.384117,440173000
193,192,11,125.640717,35.369867,440173000
191,187,11,125.64035,35.3674,440173000
192,187,11,125.639317,35.3613,440173000
191,186,11,125.636467,35.345033,440173000
190,190,11.1,125.6319,35.321783,440173000
186,182,11.1,125.63155,35.3171,440173000
186,182,11.1,125.630967,35.30585,440173000
186,183,11,125.630533,35.298667,440173000
186,182,10.9,125.630317,35.294617,440173000
191,189,10.8,125.628383,35.2807,440173000
191,187,10.9,125.627783,35.277117,440173000
193,190,10.8,125.6239,35.257867,440173000
193,190,10.8,125.62255,35.251867,440173000
192,191,10.8,125.62185,35.249033,440173000
192,188,10.8,125.62075,35.243583,440173000
191,189,10.8,125.6194,35.237667,440173000
193,190,10.8,125.618783,35.2347,440173000
197,195,10.8,125.61725,35.229383,440173000
198,195,10.9,125.616217,35.226533,440173000
192,192,10.8,125.61525,35.2235,440173000
192,190,10.8,125.613367,35.215133,440173000
192,189,10.8,125.612833,35.212717,440173000
193,190,10.9,125.612383,35.210717,440173000
193,190,10.8,125.611683,35.207817,440173000
192,190,10.8,125.610933,35.204867,440173000
192,190,10.8,125.610633,35.203217,440173000
192,189,10.9,125.609933,35.20025,440173000
192,189,11,125.609683,35.198867,440173000
192,189,10.9,125.608967,35.195733,440173000
192,192,10.8,125.608467,35.193917,440173000
192,189,10.9,125.608133,35.192317,440173000
192,191,10.9,125.607583,35.189983,440173000
191,190,10.9,125.607167,35.187983,440173000
191,190,10.8,125.6066,35.185417,440173000
192,189,10.9,125.60635,35.18395,440173000
192,191,10.8,125.605667,35.181417,440173000
191,190,10.9,125.605267,35.179467,440173000
192,190,10.9,125.604833,35.177467,440173000
192,190,10.9,125.604033,35.174067,440173000
193,191,10.8,125.60355,35.172067,440173000
193,191,10.9,125.60295,35.1695,440173000
193,192,10.8,125.602367,35.167583,440173000
192,190,10.8,125.601883,35.165617,440173000
191,190,10.9,125.601467,35.163583,440173000
191,189,10.8,125.601033,35.161617,440173000
192,189,10.9,125.60055,35.159583,440173000
193,190,10.9,125.60025,35.158183,440173000
193,191,10.9,125.599733,35.156233,440173000
192,191,10.9,125.597383,35.146667,440173000
192,189,10.9,125.59695,35.144733,440173000
192,190,10.9,125.5965,35.142733,440173000
193,192,10.9,125.595733,35.139683,440173000
191,190,10.9,125.5952,35.137267,440173000
192,190,10.9,125.59485,35.135733,440173000
192,191,10.9,125.594367,35.13375,440173000
192,191,10.9,125.593833,35.1314,440173000
191,190,10.9,125.593133,35.1283,440173000
191,190,10.9,125.592783,35.126717,440173000
192,190,10.9,125.59235,35.12475,440173000
192,191,11,125.5918,35.12275,440173000
193,191,10.9,125.591317,35.120683,440173000
192,191,10.9,125.590683,35.1183,440173000
